loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch,step
0.6931,7.863576889038086,3e-05,0.0,0.0,0.0,0.0,-175.15538024902344,-323.06201171875,-0.7260180115699768,-0.2246415168046951,0.0344827586206896,1
0.6931,8.192228317260742,6e-05,0.0,0.0,0.0,0.0,-175.4341583251953,-322.2869567871094,-0.763877809047699,-0.2010415345430374,0.0689655172413793,2
0.5968,7.15510368347168,8.999999999999999e-05,0.1194153353571891,-0.0863321796059608,0.97265625,0.20574751496315,-175.1519317626953,-332.4369812011719,-0.6432915329933167,-0.2181019037961959,0.1034482758620689,3
0.2354,3.249362707138061,0.0001199999999999,0.7209603190422058,-0.7048676013946533,0.99609375,1.425827980041504,-164.46961975097656,-334.05487060546875,-0.6586628556251526,-0.1549266874790191,0.1379310344827586,4
0.0638,0.769888162612915,0.00015,1.5773162841796875,-2.246415853500366,1.0,3.8237318992614746,-159.1240692138672,-353.79608154296875,-0.6876150369644165,-0.2349797487258911,0.1724137931034483,5
0.014,0.2243884801864624,0.0001799999999999,2.2928695678710938,-5.195447444915772,1.0,7.488317489624023,-150.45339965820312,-376.7556762695313,-0.654507040977478,-0.1237731203436851,0.2068965517241379,6
0.004,0.122638426721096,0.0002099999999999,2.435463190078736,-8.917041778564453,1.0,11.352505683898926,-151.4437255859375,-414.8538818359375,-0.5047212839126587,-0.0447940453886985,0.2413793103448276,7
0.0002,0.0059560937806963,0.0002399999999999,1.9615612030029297,-14.19550895690918,1.0,16.15707015991211,-154.3703155517578,-466.2364501953125,-0.4521331191062927,-0.0919550582766532,0.2758620689655172,8
0.0,0.0017226443160325,0.00027,0.8701992034912109,-20.62852096557617,1.0,21.498722076416016,-159.7344970703125,-532.143310546875,-0.4487342834472656,-0.0342096164822578,0.3103448275862069,9
0.0001,0.0075993672944605,0.0003,-1.840296983718872,-27.57840156555176,1.0,25.73810577392578,-192.24598693847656,-604.019775390625,-0.4458233118057251,-0.0602605417370796,0.3448275862068966,10
0.0,0.0015358700184151,0.0002989285714285,-4.542523384094238,-34.85627365112305,1.0,30.313751220703125,-218.87222290039065,-671.6903686523438,-0.4694162011146545,-0.1156847923994064,0.3793103448275862,11
0.0006,0.0931544601917266,0.0002978571428571,-7.446705341339111,-40.73611068725586,1.0,33.28940200805664,-246.9713592529297,-728.1578369140625,-0.5665204524993896,-0.2653870284557342,0.4137931034482758,12
0.0001,0.0068534347228705,0.0002967857142857,-10.256027221679688,-50.01386260986328,1.0,39.75783920288086,-274.1348876953125,-832.0330810546875,-0.6766429543495178,-0.3652192950248718,0.4482758620689655,13
0.0,0.0003184886591043,0.0002957142857142,-13.816170692443848,-55.16339111328125,1.0,41.34722137451172,-312.23486328125,-874.1751098632812,-0.6812518835067749,-0.3970084190368652,0.4827586206896552,14
